question_id,title,topic,sub_topic,difficulty,question_link,solution_link
62,Unique Integers after K deletions,Sorting,Top K pattern,Medium,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/
63,Two sum ,Hashmap,Pairs,Easy,https://leetcode.com/problems/two-sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/Rotated%20Sorted%20Array/04%20Rotated%20sorted%20array%20IV.md
64,Pair with given difference,Hashmap,Pairs,Easy,https://practice.geeksforgeeks.org/problems/find-pair-given-difference1559/1,https://practice.geeksforgeeks.org/problems/find-pair-given-difference1559/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
65,Find number of Pairs,Hashmap,Pairs,Medium,https://leetcode.com/problems/k-diff-pairs-in-an-array/,https://leetcode.com/problems/k-diff-pairs-in-an-array/
66,Find number of Bad Pairs,Hashmap,Pairs,Medium,https://leetcode.com/problems/count-number-of-bad-pairs/description/,https://leetcode.com/problems/count-number-of-bad-pairs/description/
67,Maximum number of Sum pairs,Hashmap,Pairs,Medium++,https://leetcode.com/problems/max-number-of-k-sum-pairs/description/,https://leetcode.com/problems/max-number-of-k-sum-pairs/description/
68,Longest Substring without Repeating chars,Hashmap,Two Pointers,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://leetcode.com/problems/longest-substring-without-repeating-characters/
69,Find All anagrams in String,Hashmap,Two Pointers,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/,https://leetcode.com/problems/find-all-anagrams-in-a-string/
70,Longest K character unique SubString,Hashmap,Two Pointers,Medium++,https://practice.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1,https://practice.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1
71,Fruites into Basket,Hashmap,Two Pointers,Medium,https://leetcode.com/problems/fruit-into-baskets/,https://leetcode.com/problems/fruit-into-baskets/
72,Length of Contiuous SubArray,Hashmap,Two Pointers,Medium++,https://practice.geeksforgeeks.org/problems/sum-of-length3345/1,https://github.com/Dummy-Bug/Data-Structures-and-Algorithms/blob/master/05%20DSA%20PatternWise/01%20Sliding%20Window/10%20Sum%20of%20lengths%20.md
73,Find the Good SubArray,Hashmap,Two Pointers,Medium++,https://www.interviewbit.com/problems/subarrays-with-distinct-integers/,https://github.com/Dummy-Bug/Data-Structures-and-Algorithms/blob/master/05%20DSA%20PatternWise/01%20Sliding%20Window/11%20SubArrays%20with%20Distinct%20integers%20.md
74,Longest Repeating Character Replacement,Hashmap,Two Pointers,Hard,https://leetcode.com/problems/longest-repeating-character-replacement/,https://leetcode.com/problems/longest-repeating-character-replacement/
75,Anagram Palindrome ,Hashmap,Classics,Easy,https://practice.geeksforgeeks.org/problems/anagram-palindrome4720/1,https://practice.geeksforgeeks.org/problems/anagram-palindrome4720/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
76,Find SubArray with Sum Zero,Hashmap,Classics,Easy,https://practice.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1,https://practice.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
77,Longest consecutive sequence,Hashmap,Classics,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/Rotated%20Sorted%20Array/04%20Rotated%20sorted%20array%20IV.md
78,Largest Subarray with Zero sum,Hashmap,Classics,Medium,https://practice.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,https://practice.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
79,Longest Consecutive Sequence,Hashmap,Classics,Medium++,https://leetcode.com/problems/longest-consecutive-sequence/,https://leetcode.com/problems/longest-consecutive-sequence/
80,Reverse a linked list I,Linked List,InPlace Reversal,Easy,https://leetcode.com/problems/reverse-linked-list/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/01%20Reverse%20a%20Linked%20List%20.md
81,Reverse a linked list II,Linked List,InPlace Reversal,Medium,https://leetcode.com/problems/reverse-linked-list-ii/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/02%20Reverse%20Linked%20List%20II.md
82,Even Reverse linked list,Linked List,InPlace Reversal,Medium,https://www.interviewbit.com/problems/even-reverse/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/03%20Even%20reversed%20list%20.md
83,Swap nodes in pairs,Linked List,InPlace Reversal,Medium++,https://leetcode.com/problems/swap-nodes-in-pairs/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/04%20Swap%20nodes%20in%20pairs%20.md
84,Reverse nodes in K groups ,Linked List,InPlace Reversal,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/05%20Reverse%20Nodes%20in%20K%20groups%20.md
85,Reverse alternate K nodes,Linked List,InPlace Reversal,Hard,https://www.interviewbit.com/problems/reverse-alternate-k-nodes/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/InPlace%20Reversal/06%20Reverse%20alternate%20K%20nodes%20.md
86,Linked List cycle I,Linked List,Hare and Turtle,Easy,https://leetcode.com/problems/linked-list-cycle/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/Hare%20&%20Tortoise/02%20Linked%20List%20cycle%20.md
87,Linked List cycle II,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/linked-list-cycle-ii/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/Hare%20%26%20Tortoise/03%20Linked%20List%20Cycle%20II%20.md
88,Remove cycle in a Linked List,Linked List,Hare and Turtle,Medium,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1?utm_source=geeksforgeeks&utm_medium=article_practice_tab&utm_campaign=article_practice_tab
89,Middle of Linked List,Linked List,Hare and Turtle,Easy,https://leetcode.com/problems/middle-of-the-linked-list/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/Hare%20%26%20Tortoise/01%20Middle%20of%20Linked%20List.md
90,Delete Middle of Linked List,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/description/,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/description/
91,Palindrome Linked List,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/palindrome-linked-list/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/Hare%20%26%20Tortoise/04%20Palindrome%20Linked%20List%20.md
92,Maximum Twin Sum of a Linked List,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/
93,Reorder List ,Linked List,Hare and Turtle,Medium++,https://leetcode.com/problems/reorder-list/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Linked%20List/Hare%20%26%20Tortoise/05%20Reorder%20list%20.md
94,Find the Duplicate Number,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/find-the-duplicate-number/,https://leetcode.com/problems/find-the-duplicate-number/https://leetcode.com/problems/find-the-duplicate-number/
95,Remove Nth node from end,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
96,Swapping Nodes in a Linked List,Linked List,Hare and Turtle,Medium,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/,https://leetcode.com/problems/swapping-nodes-in-a-linked-list/
97,Merge two sorted Lists,Linked List,Two Pointers,Easy,https://leetcode.com/problems/merge-two-sorted-lists/,https://leetcode.com/problems/merge-two-sorted-lists/
98,Intersection of linked list,Linked List,Two Pointers,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/,https://leetcode.com/problems/intersection-of-two-linked-lists/
99,Remove Duplicates I,Linked List,Two Pointers,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,https://leetcode.com/problems/remove-duplicates-from-sorted-list/
100,Remove Duplicates II,Linked List,Two Pointers,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/
101,Merge Nodes in between Zeros,Linked List,Two Pointers,Medium,https://leetcode.com/problems/merge-nodes-in-between-zeros/description/,https://leetcode.com/problems/merge-nodes-in-between-zeros/description/
102,Add twoNumbers I,Linked List,Classics,Easy,https://leetcode.com/problems/add-two-numbers/description/,https://leetcode.com/problems/add-two-numbers/description/
103,Add twoNumbers II,Linked List,Classics,Medium,https://leetcode.com/problems/add-two-numbers-ii/,https://leetcode.com/problems/add-two-numbers-ii/
104,Odd Even Linked List,Linked List,Classics,Medium,https://leetcode.com/problems/odd-even-linked-list/,https://leetcode.com/problems/odd-even-linked-list/
105,Copy list with Random Pointers,Linked List,Classics,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/,https://leetcode.com/problems/copy-list-with-random-pointer/
106,Partition List,Linked List,Classics,Medium,https://leetcode.com/problems/partition-list/,https://leetcode.com/problems/partition-list/
107,Rotate List,Linked List,Classics,Medium,https://leetcode.com/problems/rotate-list/,https://leetcode.com/problems/rotate-list/
108,Insertion Sort List,Linked List,Sorting,Medium++,https://leetcode.com/problems/insertion-sort-list/,https://leetcode.com/problems/insertion-sort-list/
109,Sort List,Linked List,Sorting,Medium++,https://leetcode.com/problems/sort-list/,https://leetcode.com/problems/sort-list/
110,Merge k Sorted Lists,Linked List,Sorting,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,https://leetcode.com/problems/merge-k-sorted-lists/
111,Design Linked List,Linked List,Design,Medium,https://leetcode.com/problems/design-linked-list/,https://leetcode.com/problems/design-linked-list/
112,Design Browser History,Linked List,Design,Medium,https://leetcode.com/problems/design-browser-history/,https://leetcode.com/problems/design-browser-history/
113,LRU Cache,Linked List,Design,Medium,https://leetcode.com/problems/lru-cache/,https://leetcode.com/problems/lru-cache/
114,LFU Cache,Linked List,Design,Hard,https://leetcode.com/problems/lfu-cache/,https://leetcode.com/problems/lfu-cache/
115,Sorted Insert position,Binary Search,Classics,Easy,https://leetcode.com/problems/search-insert-position/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/01%20Search%20Index%20in%20sorted%20array.md
116,Find First and Last Position,Binary Search,Classics,Medium,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
117,Number of Occurrence,Binary Search,Classics,Medium,https://practice.geeksforgeeks.org/problems/number-of-occurrence2259/1,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/02%20Number%20of%20Occurrence%20.md
118,Find peak in element,Binary Search,Classics,Medium,https://leetcode.com/problems/find-peak-element/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/03%20Find%20peak%20element%20in%20sorted%20array%20.md
119,Search in Bitonic Array,Binary Search,Classics,Medium++,https://www.interviewbit.com/problems/search-in-bitonic-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/04%20Search%20in%20Bitonic%20array%20.md
120,Single Element in Array,Binary Search,Classics,Medium++,https://leetcode.com/problems/single-element-in-a-sorted-array/,https://leetcode.com/problems/single-element-in-a-sorted-array/
121,Rotated sorted Array I,Binary Search,Rotated Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/Rotated%20Sorted%20Array/01%20Rotated%20sorted%20Array%20.md
122,Rotated sorted Array II,Binary Search,Rotated Search,Medium++,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Binary%20Search/Rotated%20Sorted%20Array/02%20Sorted%20rotated%20array%20.md
